app,len,t,metric,value
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,258082897
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,239302059
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,228523313
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,194728916
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,271106790
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,280090907
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,225563632
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,215007216
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,236352987
Original,440,0.02,dtlb-load-misses-large-page-walk-completed,223022468
