app,len,t,metric,value
Original,504,0.02,branch-misses,90457690
Original,504,0.02,branch-misses,88353122
Original,504,0.02,branch-misses,409029511
Original,504,0.02,branch-misses,88509249
Original,504,0.02,branch-misses,86895821
Original,504,0.02,branch-misses,89370525
Original,504,0.02,branch-misses,409553902
Original,504,0.02,branch-misses,89271433
Original,504,0.02,branch-misses,86364791
Original,504,0.02,branch-misses,87162180
Original,504,0.02,branch-misses,89916755
Original,504,0.02,branch-misses,87858450
Original,504,0.02,branch-misses,108295041
Original,504,0.02,branch-misses,87037144
Original,504,0.02,branch-misses,411625891
Original,504,0.02,branch-misses,87296605
Original,504,0.02,branch-misses,198439259
Original,504,0.02,branch-misses,201293005
Original,504,0.02,branch-misses,144430427
Original,504,0.02,branch-misses,88331089
