app,len,t,metric,value
Original,504,0.02,cycles,8284652258470
Original,504,0.02,cycles,8278757271426
Original,504,0.02,cycles,8281947340587
Original,504,0.02,cycles,8283147341360
Original,504,0.02,cycles,8281820641332
Original,504,0.02,cycles,8282012654112
Original,504,0.02,cycles,8287758944839
Original,504,0.02,cycles,8282463796909
Original,504,0.02,cycles,8285112150492
Original,504,0.02,cycles,8276089544191
Original,504,0.02,cycles,8279968099926
Original,504,0.02,cycles,8284696798123
Original,504,0.02,cycles,8283632638002
Original,504,0.02,cycles,8283595504854
Original,504,0.02,cycles,8283364611748
Original,504,0.02,cycles,8277481165717
Original,504,0.02,cycles,8285403312587
Original,504,0.02,cycles,8283040385433
Original,504,0.02,cycles,8301813148463
Original,504,0.02,cycles,8281904833293
