app,len,t,metric,value
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40975673386
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40973094843
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40887367987
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40915914425
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40789948037
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40813297948
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,41020562567
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40927664545
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40857910173
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,41160739444
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40915593323
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40873238428
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40837992630
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,41002412580
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40793154835
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,41966047394
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40917992085
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,41145304069
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,43384525769
Original,504,0.02,dtlb-load-misses-demand-ld-walk-completed,40937105184
